company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"Menorah Personnel Management India Private Limited works with a vision to provide the best HR services to it's business clients with utmost care and be the first of their choice.

Menorah serves the client companies identifying the finest talents and connecting quality candidates with quality employers. It drives innovation to redefine the working world of the Human Resources.

Menorah is based in Chennai, India and is one of the most trusted services as it is handled by real HRs. It has bright experienced professionals, highly dedicated and energy packed to work towards achieving excellence adhering to the delivery standards.

Menorah provides solutions in Recruitment, Executive staffing, HR system set-up, Payroll, Compliance audit & advice and Training & Development.","RoleTechnical Architect,",Not Disclosed,5 - 10 years,Bengaluru,"Job description                 Keyskills :     Mobile Managed Services, Openstack,        Job Description :     Must have Skill: Mobile Managed Services.   Exp in Telecom IP Core, Transport,  Mobile backhaul SDNNFV area as solution architect.   Strong Exp in Wireless domain IMS,  VOIP VOLTE.   Good knowledge on SDN NFV technologies.   Exp in Openstack Cloud,  ONOS.                             RoleTechnical Architect,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsWirelessTelecomManaged servicesvolteCloudVOIPopenstackNetwork ArchitectIMSSolution Architect","['Wireless', 'Telecom', 'Managed services', 'volte', 'Cloud', 'VOIP', 'openstack', 'Network Architect', 'IMS', 'Solution Architect']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Anicalls India Pvt Ltd,"RoleArchitect,",Not Disclosed,6 - 10 years,Bangalore/Bengaluru,"Job description  Knowledge and experience in SDN, NFV, and service orchestration   Experience in virtualization and cloud technologies in the context of mobile core functions   Knowledge in UE chipset ecosystem and mobile device architecture   Knowledge in various mobile Wi-Fi interworking schemes including LWA, LWIP, and ATSSSFamiliarity with various open source and open interface initiatives such as TIP, ONAP,    O-RAN AllianceFamiliarity with Wi-Fi specifications, MSO cable network architecture, and the HFC plant is a plus.  RoleArchitect,Industry TypeIT Services & Consulting,Functional AreaUX, Design & Architecture,Employment TypeFull Time, PermanentRole CategoryArchitecture & Interior DesignEducationUG :Any GraduatePG :Any PostgraduateKey SkillsorchestrationCloudNetwork ArchitectOpen sourceWiFiVirtualizationnetwork architecturePrincipal","['orchestration', 'Cloud', 'Network Architect', 'Open source', 'WiFi', 'Virtualization', 'network architecture', 'Principal']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaUX, Design & Architecture,","Employment TypeFull Time, Permanent",Role CategoryArchitecture & Interior Design
Global Leader in GCC.,"RoleInfrastructure Architect,",Not Disclosed,7 - 12 years,Bangalore/Bengaluru,"Job description NOV is seeking a skilled and motivated engineer to join our global family in the highly skilled network support team. Our network is worldwide, across more than 60 countries in all the continents. Are you the person we are looking for?You are highly motivated, passionate about technology, and you think it is fun to work on new technology in an ever evolving environment. Our environment includes LAN, WAN, Wireless as well as Load Balancers, Firewalls, VPNs, VOIP, Security and more. Are you the person people seek advise from?We need you to evaluate, recommend and support our policies.Job DescriptionWe are currently seeking a network architect for our IT Engineering team. As our network architect, you will be responsible for infrastructure planning, design, and optimization of our hybrid cloud solution. Develops strategies and direction for IT infrastructure using current and emerging technologies solutions. You will participate with your global team members in research, new technology evaluations, and the design of future IT solutions. The role offers a broad spectrum of challenges, and you will work both hands-on implementing technical solutions and having the architecture lead.Key ResponsibilitiesDesign and develop a global network infrastructure that reflects our strategies and goals.Design and implement technical solutions using a cloud smart approach in a public andprivate cloud.Collaborate with global teams during the first implementation of new technologies, engaging with partners, as required, to drive successful outcomes.You will research and recommend strategies, technologies, or processes to improve our ability to deliver infrastructure as code.You will engage directly with business groups in architecture discussions and standard methodology.Participate in key project design reviews as part of the business demand process to ensure that architecture designs adhere to the architecture guidelines.You will keep up with current and emerging infrastructure technology trends.Drive standardization and automation into all aspects of the infrastructure.Experiment, learn new things, and help grow those around you.Skills & QualificationsDoes this sound like you?7-15 years of experience in network/security Infrastructure in enterprise environments.Strong network engineering mindset with architecture and design experience.Experience in a cloud or engineer role or related position using Azure or AWS.Experience with hybrid cloud networks and security services using Cloudflare or Zscaler.Solid and in-depth understanding of data center technologies (workloads, operating systems, virtualization, and infrastructure).Experience working with large-scale IP networks with multiple routing domains & service providers, routing protocols including BGP, EVPN, and VXLAN.Security focus with the knowledge of zero-trust security framework principles.Possess strong communications skills and the ability to build trust and integrity in your relationships with our business partners.Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT technology space.Compelling presenter with superb communication skills to represent the capabilities and services IT provides. Ability to communicate deftly to both technical and non-technical audiences.Strong awareness of networking and internet protocols, including TCP/IP, DNS, HTTP, and distributed networks.Experience with Automation and Agile processes operating closely with DevOps environmentsExperience working with Terraform, Ansible, and scripting/automation using Python or another programming languageExperience in leading projects and knowledge of project management methodology.Understanding of (architectural) frameworks such as ITIL, TOGAF,Professional certification levels within networking (CCIE/Aruba ACMX), design (CCDE, Aruba ACDX, Azure, AWS), and Security (Security+, Zscaler ZCCP, Azure, AWS) are desirable.Bachelors degree in Computer Science, Information Technology, or equivalent experience.About NOV Every single day, we put the oil and gas industrys best minds and more than 150 years of experience to work to help our customers achieve lasting success. We have the people, capabilities, and vision to serve the needs of a significant and evolving industry. One the world can’t live without.Throughout every region in the world, and across every area of drilling and production, our company provides the technical expertise, advanced equipment and operational support necessary for success – now and in the future.At NOV, we power the people who power the world.We are an equal opportunity employer.NOV is committed to building a diverse environment and is proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation or any other characteristic protected by law.We offer a comprehensive employee benefit package including health, life, and disability insurance; a retirement plan; and paid time off. Our company is committed to crafting a lasting impact for ourselves, our customers, and the communities where we live and work.RoleInfrastructure Architect,Industry TypeOil & Gas,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduateKey SkillsVLANFirewall","['VLAN', 'Firewall']",['UG :Any Graduate'],"Industry TypeOil & Gas,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
"Inspira Enterprise is a leading digital transformation enterprise that combines bold thinking, path breaking technologies and years of expertise to transform businesses and organizations around the world.  Headquartered in Mumbai, Inspira has satellite offices pan India, Singapore, UAE, Africa amp;amp;amp;amp; US with a team of over 500 professionals.Established in 2008, our expertise lies in Cyber Security, Internet of Things (IOT), Digital Healthcare, Networking and ANKIOS, a single platform exclusively dedicated to next-gen digital transformation - Blockchain, Intelligent Automation, Big Data amp;amp;amp;amp; Analytics and Cloud Computing technologies.","RoleSolution Architect,",Not Disclosed,4 - 10 years,Bangalore/Bengaluru,"Job description  *Should have solution architecture experience on large scale deals focusing on Networking   *Well Versed with OEM portfolio from - Juniper, Aruba - HP, Cisco, ManageEngine, Avaya, Polycom   *Should Have good understanding on Networking technologies like SDWAN, MPLS, SDDC, LAN, WAN, VPLS, VLAN, EMS Solutions   *Must have pre sales experience with any of the 2 mentioned UC OEM s - Avaya, Cisco, Polycom, Alcatel Lucent  *Should be open to travel for business meetings and must be a team player.   OVERALL RESPONSIBILITIES SUMMARY   Providing support in designing and pre-sales engineering on Networking , NMS, UC & Security products and services  Performing responsibilities of gathering and explaining complex technical concepts to address customer business requirement  Playing lead role in system and network designing, pricing, customer presentations and technical consulting  Monitoring sales prospect and develop strategies to maintain strong relationship with customers  Developing account plans and assist the sales team in qualifying and closing specific customer opportunities  OEM Relationship management  Responding to RFPs and preparation of Technical proposals, Product & Solution presentations, Tender specs designing, Provide Bill of materials, Solution Schematics etc  Interacting with the CXOs of customer to understanding their IT strategies and work on the  Business strategy  RoleSolution Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSolution architectureRelationship managementNetworkingWANConsultingLANVLANciscoMPLSMonitoring","['Solution architecture', 'Relationship management', 'Networking', 'WAN', 'Consulting', 'LAN', 'VLAN', 'cisco', 'MPLS', 'Monitoring']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Anicalls India Pvt Ltd,"RoleTechnical Architect,",Not Disclosed,6 - 10 years,Bangalore/Bengaluru,"Job description   Education:   Bachelor s degree    5+ years of hands-on Experience being directly involved and responsible for large scale cloud and media platform operations  CCIE certification highly preferred  Strong network analysis fundamentals and robust troubleshooting skills  Strong understanding of IP networking fundamentals and extensive experience in the application of IP protocols  In-depth Knowledge and hands-on Experience with network platforms such as Arista, Palo Alto, and Cisco  Ability to prioritize and complete tasks  Experience with on-prem and cloud-based storage and compute infrastructure platforms that power the modern broadcasting environment     Arista    Palo Alto    and Cisco     RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :Any PostgraduateKey SkillsCcieNetwork analysisNetwork securityCWNAIP networkingInfrastructureMCSETroubleshootingciscoSolution Architect","['Ccie', 'Network analysis', 'Network security', 'CWNA', 'IP networking', 'Infrastructure', 'MCSE', 'Troubleshooting', 'cisco', 'Solution Architect']","['UG :B.Tech/B.E. in Computers', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"At Huawei, we define human progress by innovations that enrich humanity. We do not view connectivity as a privilege, but a necessity. We believe that the impact of information and communications technology should be measured by how many people can benefit from it. Huawei is a leading global ICT solutions provider. Through our dedication to customer-centric innovation and strong partnerships, we have established end-to-end capabilities and strengths across the carrier networks, enterprise, consumer, and cloud computing fields. Our products and solutions have been deployed in over 170 countries, serving more than one third of the world's population. Huawei's vision is to enrich life through communication. By leveraging our experience and expertise in the ICT sector, we help bridge the digital divide by providing opportunities to enjoy broadband services, regardless of geographic location. Contributing to the sustainable development of society, the economy, and the environment, Huawei creates green solutions that enable customers to reduce power consumption, carbon emissions, and resource costs. ","RoleTechnical Architect,",Not Disclosed,8 - 10 years,Bengaluru,"Job description  Job Description   Network/Web Application Security Test Architect   Experience: 8+ Years  Location: Bangalore.    Responsibilities:    Ensuring security planning, testing, verification and risk analysis  Able to understand STRIDE analysis and derive security test schema based on security threat model.  Conducting security tests, protocol stack robustness assessment   enomicon etc.  Analyze vulnerabilities, penetration testing, impact analysis, risk analysis and security assessments    Required Skills:    6+ years of experience in security testing on web applications / thick client windows applications  Good knowledge of security tools and technologies for secure software development such as cryptography, authentication techniques and protocols etc.  Test security solutions using industry standard analysis criteria.  Should have experience in fuzz testing and knowledge of fuzzing tools like Peach, Cod Evaluate new tools and technologies and processes that enhance security capabilities  Knowledge of web security tools (Burp-suit, AppScan, CSRF tester, ZAP Proxy , Web-Scarab)  Knowledge of network security tools (Nessus, NMap)  Database Security tools (NGS Squirrel, Secure CAT)  Ability to analyze vulnerabilities, penetration testing, impact analysis, risk analysis and security assessments  Certified Ethical Hacker    Qualifications   BE, BTech, MCA, ME, any other relevant fields  6+ Year experience in relevant field BE, BTech, MCA, ME, any other relevant fields 6 Year experience in relevant fieldRoleTechnical Architect,Industry TypeTelecom / ISP,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsSchemaToolsNetwork securityCodWindowsweb application securityRisk analysisCryptographyPenetration testingImpact analysis","['Schema', 'Tools', 'Network security', 'Cod', 'Windows', 'web application security', 'Risk analysis', 'Cryptography', 'Penetration testing', 'Impact analysis']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeTelecom / ISP,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com","RoleTechnical Architect,",Not Disclosed,2 - 4 years,Bangalore/Bengaluru,"Job description  Project Role :  Technology Architect    Project Role Description :  Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.    Management Level :  11    Work Experience :  2.5-4 years    Work location :  Bengaluru    Job Requirements :        Key Responsibilities :   A: Plan and implement low to medium risk changes on production systemsB: Analyze and assess the impact and risk of low to medium risk changes on production systemsC: Resolve standard incidents affecting the operation or availability of systemsD: Daily Monitoring of Network Devices and Reporting E: Review the problem management register and identify and implement actionsF: Documentation Assist disaster recovery tests     Technical Experience :   A: Basics of OSI model TCP IP and IP SubnettingB: Understanding of Virtual MachinesC: Powershell scriptingD: Experience in configuration of Cisco Switches Routers and wireless devicesE: Good Troubleshooting skills in Cisco Switches and Routers F: Good to have AWS certification     Professional Attributes :   A: Good verbal and written communication skill to connect with customer at varying levels of organization B: Ability to operate interdependently and make decision     Educational Qualification :   BE or B Tech  RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E.PG :Post Graduation Not RequiredKey SkillsWirelessConsultingDisaster recoveryTroubleshootingMonitoringNetworkingPowershellProblem managementSystem softwareSkills highlighted with ‘‘ are preferred keyskills","['Wireless', 'Consulting', 'Disaster recovery', 'Troubleshooting', 'Monitoring', 'Networking', 'Powershell', 'Problem management', 'System software']","['UG :B.Tech/B.E.', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Microland is Making digital happen allowing technology to do more and intrude less. Our solutions for Cloud and Datacenter, Networks, Digital Workplace, Cybersecurity, and Industrial IoT make it easier for enterprises to adopt NextGen Digital infrastructure. Microlanders throughout the world ensure this embrace of digital brilliance is predictable, reliable, and stable.","RoleTechnical Architect,",Not Disclosed,4 - 9 years,Bangalore/Bengaluru,"Job description 1. Should have a good understanding of basic networking concepts.  2. Will be responsible for designing and developing scalable, maintainable, highly available network architectures that meet business objectives and SLAs.  3. Understanding of endpoint security and cloud security solutions is a plus.  4. Should be able to implement, administer and troubleshoot network infr devices, including wireless access points, firewalls, routers, switches, controllers etc.  5. Requires strong analytical and communication skills as well as sound judgment and the ability to work effectively with Infra Architects, Network Security Architects, Technology Architects and Executives.  6. Strong analytical-reasoning and problem-solving skills  7. An ability to learn new technologies quickly  8. Good time management skills  9. An ability to follow processes  10. Strong documentation skills  11. Good communication skills, both written and verbal RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsWirelessendpoint securitycloud securityNetworkingBusiness AnalystNetwork infrastructureTime managementAnalyticalNetwork securityAssociate Technical Architect","['Wireless', 'endpoint security', 'cloud security', 'Networking', 'Business Analyst', 'Network infrastructure', 'Time management', 'Analytical', 'Network security', 'Associate Technical Architect']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Microland is Making digital happen allowing technology to do more and intrude less. Our solutions for Cloud and Datacenter, Networks, Digital Workplace, Cybersecurity, and Industrial IoT make it easier for enterprises to adopt NextGen Digital infrastructure. Microlanders throughout the world ensure this embrace of digital brilliance is predictable, reliable, and stable.","RoleTechnical Architect,",Not Disclosed,6 - 11 years,Bangalore/Bengaluru,"Job description 1. Candidate will be required to team up with technical, Pre-sales, Sales and partner specialists to provide complete Network solutions to customers   2.Candidate will be responsible to drive deals from opportunity identification, qualification to proposal submission to defence to closing the Deal   3.Candidate will be responsible to enable Sales to present the value of Microland solutions to all levels of customer20s management and drive consulting sales   4.Candidate must contribute to Delivery & Sales enablement through training sessions / knowledge articles / white papers. etc   5.Candidate will be required to build and develop business case, provide relevant and sound business advice to the customer and present the same to various stakeholders within the company   6.Candidate will be responsible for managing relationship with technology partners for the solution purpose.   7.Candidate will be responsible for driving pro-active account planning along with Sales director and conduct structured cloud/network/security assessments as a door opener service.   8.Candidate will be responsible for pro-actively pitching Microland s NextGen services around Network 20 SD-WAN / SD-LAN/ Next Gen WiFi etc.   9.Candidate will be responsible to build and propose transformational services to customers, identify triggers, identify key IT issues which impact the business and make recommendations to customer.  RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsWirelessNetwork designNetworkingWANLANNetwork securityPresalesWiFiBusiness caseAccount planning","['Wireless', 'Network design', 'Networking', 'WAN', 'LAN', 'Network security', 'Presales', 'WiFi', 'Business case', 'Account planning']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Microland is Making digital happen? allowing technology to do more and intrude less. Our solutions for Cloud and Datacenter, Networks, Digital Workplace, Cybersecurity, and Industrial IoT make it easier for enterprises to adopt NextGen Digital infrastructure. Microlanders throughout the world ensure this embrace of digital brilliance is predictable, reliable, and stable.","RoleTechnical Architect,",Not Disclosed,6 - 10 years,Bangalore/Bengaluru,"Job description Details  1. Candidate will be required to team up with technical, Pre-sales, Sales and partner specialists to provide complete Network solutions to customers   2.Candidate will be responsible to drive deals from opportunity identification, qualification to proposal submission to defence to closing the Deal   3.Candidate will be responsible to enable Sales to present the value of Microland solutions to all levels of customer20s management and drive consulting sales   4.Candidate must contribute to Delivery Sales enablement through training sessions / knowledge articles / white papers. etc   5.Candidate will be required to build and develop business case, provide relevant and sound business advice to the customer and present the same to various stakeholders within the company   6.Candidate will be responsible for managing relationship with technology partners for the solution purpose.   7.Candidate will be responsible for driving pro-active account planning along with Sales director and conduct structured cloud/network/security assessments as a door opener service.   8.Candidate will be responsible for pro-actively pitching Microland s NextGen services around Network 20 SD-WAN / SD-LAN/ Next Gen WiFi...etc.   9.Candidate will be responsible to build and propose transformational services to customers, identify triggers, identify key IT issues which impact the business and make recommendations to customer.    RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsTechnical ArchitectNetworkingBusiness AnalystWANLANNetwork securityPresalesWiFiBusiness caseAccount planning","['Technical Architect', 'Networking', 'Business Analyst', 'WAN', 'LAN', 'Network security', 'Presales', 'WiFi', 'Business case', 'Account planning']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"DXC is the worlds leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Created by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise, DXC Technology is a $25 billion company with a 60-year legacy of delivering results for thousands of clients in more than 70 countries. Our technology independence, global talent and extensive partner network combine to deliver powerful next-generation IT services and solutions.","RoleNetwork Manager / Administrator,",Not Disclosed,5 - 10 years,Bangalore/Bengaluru,"Job description       Essential Job Functions     Assists in generating conceptual, logical and physical network architectures, documents, testing analyses, test plans and risk assessments to ensure sound architecture which meet client needs.   Assists in leading teams that analyze, design, troubleshoot and implement network architecture in order to best meet client requirements; leverages resources from different teams to ensure that customer needs are met.   Assists in troubleshooting the most complex data or voice network and hardware problems; researches and analyzes significant, complex network problems that require evaluation of intangibles, such as downstream effects on client satisfaction; assesses and evaluates current and future systems.   Assists in determining methods and procedures to be implemented and used on moderately complex new technologies to enhance performance. Determines approach for customer, based on assessment of customer needs.   Researches technological advancements to ensure that voice and data networking solutions are continuously improved, supported and aligned with industry and company standards.   Evaluates cost analyses and vendor comparisons for large scale projects to ensure cost-effective and efficient operations, and measures feasibility of various approaches.   Recommends moderately complex investment decisions to management and customers based on results of independent assessment of current and future data or voice network performance, stability, and network management issues.   Leads major proposal efforts and creates strategies to win business in new markets or current accounts.     Basic Qualifications     Bachelors degree or equivalent combination of education and experience   Masters degree in computer science, management information systems or related field preferred   Nine or more years of experience in networks, LAN/WAN or management information systems   Experience working with computer systems   Experience working with network systems, data or voice   Experience working with networking principles, data or voice   Experience working with network software and hardware, data or voice   Experience working with proprietary software and hardware     Other Qualifications     Project management skills   Analytical and creative problem solving skills for design, creation and testing of new databases   Skilled in time, priority and task management   Interpersonal skills to interact with customers and team members   Communication skills to interact with team members and support personnel   Good presentation skills   Ability to work independently and as part of a team   Leadership ability to effectively lead a team     Work Environment     Office environment   RoleNetwork Manager / Administrator,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceInterpersonal skillsNetworkingWANAnalyticalProject managementLANHardwareManagementDownstream","['Computer science', 'Interpersonal skills', 'Networking', 'WAN', 'Analytical', 'Project management', 'LAN', 'Hardware', 'Management', 'Downstream']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
"Headquartered in New Delhi, FutureSoft is a software consulting and technology services company specializing in industry-specific solutions, strategic outsourcing and integration services. Clients gain competitive advantage by leveraging our product development, delivery capabilities to achieve their product milestones with world-class quality and reduced costs.","RoleTechnical Architect,",Not Disclosed,7 - 10 years,Bangalore/Bengaluru,"Job description  Need somebody who has ""been there done it"" when it comes to setting up VPCs, Firewalls, routing logic, firewall tags, Load balancers, etc. in GCP at least a couple of large GCP customers    Cloud Armor, Interconnect, Cloud Router, Cloud VPN HA   RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsArchitectNetworkingGCPVPNCloudRoutingFirewall","['Architect', 'Networking', 'GCP', 'VPN', 'Cloud', 'Routing', 'Firewall']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Menorah Personnel Management India Private Limited works with a vision to provide the best HR services to it's business clients with utmost care and be the first of their choice.

Menorah serves the client companies identifying the finest talents and connecting quality candidates with quality employers. It drives innovation to redefine the working world of the Human Resources.

Menorah is based in Chennai, India and is one of the most trusted services as it is handled by real HRs. It has bright experienced professionals, highly dedicated and energy packed to work towards achieving excellence adhering to the delivery standards.

Menorah provides solutions in Recruitment, Executive staffing, HR system set-up, Payroll, Compliance audit & advice and Training & Development.","RoleTechnical Architect,",Not Disclosed,5 - 10 years,Bengaluru,"Job description  Job Description :     Roles and Responsibilities:     Packet Core, IMS Solution realization on virtualized environment.   Create High level design and low level system design for the Packet Core, IMS and VOLTE Integration.   Development of network integration adapters, APIs and device descriptors for the VNF integration of Virtualized environment.   Network integration and Packet core solution realization.     Skill sets:    Strong Experience in Wireless domain (2G.3G,4G, 5G NGC) IMS, VOIP and VOLTE.   Hands on experience on any of the Packet core NE's such as 5G Core, MME, SGSN, S/P - GW, PCRF, HSS, SBC, MGCF.   Good domain knowledge in the technologies  -  Software Defined Networking (SDN) and Network Function Virtualization ETSI NFV.   Architecture, Openstack, ODL, ONOS.   Network design experience; HLD and LLD.   Good understanding of protocols like 3G, LTE, SIP, Megaco, MGCP, RTP, SDP,DIAMETER,CAP/CAMEL(SS7 Varient), MAP, FTP, DNS, DHCP, TCP, UDP, and IP.   Understanding of test tools (Inet Spectra, Ixia breaking point, Wireshark, etc) and Test Management center (HP - QC).   Good understanding of End to End IMS, 3G/4G and VOLTE call flows.   Good Understanding of Rich Communication Suite like Instant messaging, unified Presence, testing.      RoleTechnical Architect,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsWirelessTCPNetwork designSS7VOIPDNSSystem designSGSNSIPIMS","['Wireless', 'TCP', 'Network design', 'SS7', 'VOIP', 'DNS', 'System design', 'SGSN', 'SIP', 'IMS']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Menorah Personnel Management India Private Limited works with a vision to provide the best HR services to it's business clients with utmost care and be the first of their choice.

Menorah serves the client companies identifying the finest talents and connecting quality candidates with quality employers. It drives innovation to redefine the working world of the Human Resources.

Menorah is based in Chennai, India and is one of the most trusted services as it is handled by real HRs. It has bright experienced professionals, highly dedicated and energy packed to work towards achieving excellence adhering to the delivery standards.

Menorah provides solutions in Recruitment, Executive staffing, HR system set-up, Payroll, Compliance audit & advice and Training & Development.","RoleBack End Developer,",Not Disclosed,5 - 10 years,Bengaluru,"Job description  Job Description :   Good domain knowledge and working experience IP Core, Transport, Optical, Mobile backhaul area(Mandatory).   Good domain knowledge of Software Defined Networking (SDN) and Network Function Virtualization(NFV) technologies and standards (mandatory).   Good understanding Mobile (4G, 3G, 2G) networks technology and working experience in this domainGood expertise on DATACOM and IP - MPLS domains.   Good expertise on Linux based operating system Familiarity with networking protocols (TCP/IP, Ethernet, 802.1Q, GRE, VXLAN, L2VPN, MPL.   Integration experience of multi - vendor open products and NFVI building.   Good knowledge on Overflow protocol, SDN controllers desirable.   Good knowledge on open stack, ETSI NFV and VIM and MANO architecture desirable.   Good understanding of networking device architectures routers, switches, virtual switches, load balancer, NAT, firewall, etc. RoleBack End Developer,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsNATNetworking protocolsManaged servicesLinux3GEthernetsoftware defined networkingVirtualizationMPLSFirewall","['NAT', 'Networking protocols', 'Managed services', 'Linux', '3G', 'Ethernet', 'software defined networking', 'Virtualization', 'MPLS', 'Firewall']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
